pair_id,url1_lang,google_lang1,url2_lang,google_lang2,title1,title2,translated1,translated2
1484396075_1483794933,en,en,en,en,"Agnico CEO Sean Boyd on succession planning, investing in the North, and working in",Gold miners set to build on record year for mergers and acquisitions,"Agnico CEO Sean Boyd on succession planning, investing in the North, and working in",Gold miners set to build on record year for mergers and acquisitions
1484188343_1484127315,en,en,en,en,Spike Island visitor numbers treble in three years,Taoiseach makes first general election campaign pitch in New Year video,Spike Island visitor numbers treble in three years,Taoiseach makes first general election campaign pitch in New Year video
1484009938_1484201603,en,en,en,en,Venadash Institute of Decorative Arts graduates 22 women,Christianity Today’s Most Popular Articles of the Decade,Venadash Institute of Decorative Arts graduates 22 women,Christianity Today’s Most Popular Articles of the Decade
1484190223_1484354411,en,en,en,en,Paid leave for new pets offered to Brisbane brewery staff,Dimitrov to ease his way back after injury-hit 2019,Paid leave for new pets offered to Brisbane brewery staff,Dimitrov to ease his way back after injury-hit 2019
1483805613_1484204537,en,en,en,en,Kahata on target as Simba SC open a 10-point gap with win against Ndanda,MIAA,Kahata on target as Simba SC open a 10-point gap with win against Ndanda,MIAA
1484702073_1484760850,en,en,en,en,"2020 Declared Year of Artificial Intelligence in Telangana as Govt Signs MoUs with Cos, IITs",'It Warmed My Heart': Sachin Tendulkar Rings in New Year With an Inspirational Message on Twitter,"2020 Declared Year of Artificial Intelligence in Telangana as Govt Signs MoUs with Cos, IITs",'It Warmed My Heart': Sachin Tendulkar Rings in New Year With an Inspirational Message on Twitter
1484084344_1484110209,en,en,en,en,MD Lottery,Haiti’s leader marks independence day amid security concerns,MD Lottery,Haiti’s leader marks independence day amid security concerns
1484033615_1483970348,en,en,en,en,"TMC observes foundation day as ‘Citizens’ Day’, vows to continue protests till CAA is withdrawn",Actor Swara Bhasker lauds Jamia students for waking up entire country against CAA,"TMC observes foundation day as ‘Citizens’ Day’, vows to continue protests till CAA is withdrawn",Actor Swara Bhasker lauds Jamia students for waking up entire country against CAA
1484190366_1483842785,en,en,en,en,Crown drops criminal charge against motorist who peeled anti-carbon tax sticker from gas pump,Maharashtra: Congress MLA whose supporters attacked party office condemns incident,Crown drops criminal charge against motorist who peeled anti-carbon tax sticker from gas pump,Maharashtra: Congress MLA whose supporters attacked party office condemns incident
1484035749_1484140713,en,en,en,en,Montreal’s first baby of 2020 born 11 minutes after midnight,"Meet Henri and Lucas, Quebec's first babies of the decade ",Montreal’s first baby of 2020 born 11 minutes after midnight,"Meet Henri and Lucas, Quebec's first babies of the decade "
1484190154_1484161410,en,en,en,en,Islanders: 3 other players who deserved to go to All-Star Game,Prefabulous: The Best Prefab Homes of 2019,Islanders: 3 other players who deserved to go to All-Star Game,Prefabulous: The Best Prefab Homes of 2019
1484038841_1484350501,en,en,en,en,Ad blitz underway against Colorado public option,Denver teens want to start movement by cleaning up local parks,Ad blitz underway against Colorado public option,Denver teens want to start movement by cleaning up local parks
1484037160_1484286023,en,en,en,en,ECHL At A Glance,White nationalist Augustus Sol Invictus arrested in Florida,ECHL At A Glance,White nationalist Augustus Sol Invictus arrested in Florida
1484012619_1485042131,en,en,en,en,Pope Francis apologizes for slapping woman's hand away,Pope says sorry for slapping devotee,Pope Francis apologizes for slapping woman's hand away,Pope says sorry for slapping devotee
1484189390_1484049687,en,en,en,en,"Be you either hot or cold: Jesus' words, not mine","Choices galore for financial advisors, but pick the one suitable for you","Be you either hot or cold: Jesus' words, not mine","Choices galore for financial advisors, but pick the one suitable for you"
1484395760_1484217880,en,en,en,en,"Delhi trader kills wife, daughter before shooting self","Businessman, wife, daughter found dead inside SUV with bullet wounds","Delhi trader kills wife, daughter before shooting self","Businessman, wife, daughter found dead inside SUV with bullet wounds"
1483803221_1484182545,en,en,en,en,CNG stations to get intermittent gas supply in Jan: Omar Ayub Khan,Nine easy-to-avoid mistakes that gym newbies make,CNG stations to get intermittent gas supply in Jan: Omar Ayub Khan,Nine easy-to-avoid mistakes that gym newbies make
1484013322_1484227004,en,en,en,en,Cop indicted for yanking on ultra-Orthodox man’s sidelock,Indore: Health dept to raise demand for more doctors and staff,Cop indicted for yanking on ultra-Orthodox man’s sidelock,Indore: Health dept to raise demand for more doctors and staff
1484012348_1484255820,en,en,en,en,Nine are killed and thousands more evacuated after floods in Indonesia,Indonesia: Jakarta hit with deadly floods,Nine are killed and thousands more evacuated after floods in Indonesia,Indonesia: Jakarta hit with deadly floods
1484033248_1484265431,en,en,en,en,Here’s cheers to a truly boring 2020,New Year’s Eve on the Las Vegas Strip — PHOTOS,Here’s cheers to a truly boring 2020,New Year’s Eve on the Las Vegas Strip — PHOTOS
1484455044_1483944422,en,en,en,en,‘Akhand path’ and ‘nagar kirtan’ mark Guru Gobind Singh’s birth anniversary,Punjab Governor calls upon people to rededicate themselves to ideals of Guru Gobind Singh,‘Akhand path’ and ‘nagar kirtan’ mark Guru Gobind Singh’s birth anniversary,Punjab Governor calls upon people to rededicate themselves to ideals of Guru Gobind Singh
1484039737_1485714745,en,en,en,en,P.E.I. company launches impeachment soap for American market ,Tips when Planning for Immigration to Another Place,P.E.I. company launches impeachment soap for American market ,Tips when Planning for Immigration to Another Place
1484011141_1484931264,en,en,en,en,"It’s been rocky at times, but Bitcoin rose 9,000,000% this decade",Five Things You Need to Know to Start Your Day,"It’s been rocky at times, but Bitcoin rose 9,000,000% this decade",Five Things You Need to Know to Start Your Day
1484012251_1483995404,en,en,en,en,Longford man accused of assault to face trial,My stepfather wants to move his new wife into my late mother’s house: Can I ‘kick her out’ after he dies?,Longford man accused of assault to face trial,My stepfather wants to move his new wife into my late mother’s house: Can I ‘kick her out’ after he dies?
1484010577_1484258986,en,en,en,en,AG pledges action to arrest crime,Ray Sefo's bucket list for 2020 includes signing more big name fighters,AG pledges action to arrest crime,Ray Sefo's bucket list for 2020 includes signing more big name fighters
1483806109_1484307854,en,en,en,en,KSRE offers Farm Financial Skills Series for Kansas Women in Ag,Here Are All Of The US's Largest Food Deserts,KSRE offers Farm Financial Skills Series for Kansas Women in Ag,Here Are All Of The US's Largest Food Deserts
1484763364_1484396470,en,en,en,en,"K-Pop Idols Momo and Kim Heechul Were Confirmed Dating, and Fans Can't Be Happier!",Super Junior’s Heechul And TWICE’s Momo Confirmed To Be Dating,"K-Pop Idols Momo and Kim Heechul Were Confirmed Dating, and Fans Can't Be Happier!",Super Junior’s Heechul And TWICE’s Momo Confirmed To Be Dating
1484008387_1484164543,en,en,en,en,Pope Francis apologises after slapping woman's hand,WATCH: Pope Francis Slaps Woman's Hand on New Year's Eve,Pope Francis apologises after slapping woman's hand,WATCH: Pope Francis Slaps Woman's Hand on New Year's Eve
1484188859_1483828027,en,en,en,en,ICAI Doha holds 5-day certification course on blockchain technology,"Continuing the tradition, India and Pakistan exchange list of nuclear installations",ICAI Doha holds 5-day certification course on blockchain technology,"Continuing the tradition, India and Pakistan exchange list of nuclear installations"
1484009419_1484201245,en,en,en,en,Quebec Proved to Be Attractive Enough for Lotto Windfalls,Here are the Lotto and Lotto Plus results,Quebec Proved to Be Attractive Enough for Lotto Windfalls,Here are the Lotto and Lotto Plus results
1484701886_1483995327,en,en,en,en,North Korea's Warning to America: End Your 'Hostile Policy' Or Get Nothing,Here’s North Korea’s New Year’s gift to the world,North Korea's Warning to America: End Your 'Hostile Policy' Or Get Nothing,Here’s North Korea’s New Year’s gift to the world
1484010878_1484010762,en,en,en,en,"10 years after surgery, Ryan Westmoreland lands coaching job at UMass-Dartmouth",Two-time Semi Finalist Vera Zvonareva to Miss Australian Open,"10 years after surgery, Ryan Westmoreland lands coaching job at UMass-Dartmouth",Two-time Semi Finalist Vera Zvonareva to Miss Australian Open
1484401425_1484325303,en,en,en,en,Towns told 'we need to evacuate' before fire risk intensifies in Gippsland,"Seventeen missing, one dead after destructive bushfires in Victoria, Australia",Towns told 'we need to evacuate' before fire risk intensifies in Gippsland,"Seventeen missing, one dead after destructive bushfires in Victoria, Australia"
1484012307_1483858039,en,en,en,en,Bushfires live updates: Troops prepare for emergency evacuations by sea,Australian bushfires: Panicked residents stuck in fire ravished towns stock up on supplies,Bushfires live updates: Troops prepare for emergency evacuations by sea,Australian bushfires: Panicked residents stuck in fire ravished towns stock up on supplies
1484759177_1483971785,en,en,en,en,New Minneapolis cafe experiments with pay-what-you-can model,Amicable divorce turns sour when it comes to money and moving out: Ask Ellie,New Minneapolis cafe experiments with pay-what-you-can model,Amicable divorce turns sour when it comes to money and moving out: Ask Ellie
1484037350_1484183400,en,en,en,en,WandaVision: Disney+ Bumps Up Release Date for Marvel Series,Marvel's 'Wandavision' Series Will Be Arriving Sooner Than Expected,WandaVision: Disney+ Bumps Up Release Date for Marvel Series,Marvel's 'Wandavision' Series Will Be Arriving Sooner Than Expected
1484037526_1484138375,en,en,en,en,"Harry Kazianis: North Korea's Kim has THIS goal in mind (no, he's not crazy). Here's how Trump should respond","Kim Jong Un threatens to renew testing nuclear weapons, long-range missiles","Harry Kazianis: North Korea's Kim has THIS goal in mind (no, he's not crazy). Here's how Trump should respond","Kim Jong Un threatens to renew testing nuclear weapons, long-range missiles"
1577285824_1543216221,en,en,en,en,Modelling COVID-19 epidemics,GP guidance on coronavirus updated to include advice on cleaning,Modelling COVID-19 epidemics,GP guidance on coronavirus updated to include advice on cleaning
1484188814_1484188819,en,en,en,en,"A Harvard student with 302,000 YouTube subscribers breaks down how much money she earned in ad revenue in 2019 as a college influencer",A personal finance influencer on YouTube earned 6 figures from ads in 2019. He told us how and shared the monthly breakdown.,"A Harvard student with 302,000 YouTube subscribers breaks down how much money she earned in ad revenue in 2019 as a college influencer",A personal finance influencer on YouTube earned 6 figures from ads in 2019. He told us how and shared the monthly breakdown.
1484189099_1484230590,en,en,en,en,Stop using Jewish blood to smear your political enemies,New video shows men throw chair at Hasidic man in Brooklyn on Christmas Eve,Stop using Jewish blood to smear your political enemies,New video shows men throw chair at Hasidic man in Brooklyn on Christmas Eve
1484190749_1484026894,en,en,en,en,Liverpool venció 2-0 al Sheffield United por la fecha 21 de la Premier League,"Profile with news, career statistics and history",Liverpool venció 2-0 al Sheffield United por la fecha 21 de la Premier League,"Profile with news, career statistics and history"
1484010434_1484050658,en,en,en,en,"Legal weed sales begin in Illinois as state pardons more than 11,000 marijuana convictions",Illinois becomes latest US state to legalize recreational pot,"Legal weed sales begin in Illinois as state pardons more than 11,000 marijuana convictions",Illinois becomes latest US state to legalize recreational pot
1484037285_1484231118,en,en,en,en,For Auld Lang Jackass,Post-Iraq war US intel report predicting 2020 looks ‘eerily prescient’ only compared to agencies’ political blunders –,For Auld Lang Jackass,Post-Iraq war US intel report predicting 2020 looks ‘eerily prescient’ only compared to agencies’ political blunders –
1507500205_1483823477,en,en,en,en,"Expectations, Aspirations and Goals for 2020",2019 not a successful year for Nigerians – Atiku,"Expectations, Aspirations and Goals for 2020",2019 not a successful year for Nigerians – Atiku
1484759945_1484273586,en,en,en,en,"1 Dead, 2 Injured in Downtown Minneapolis Fight and Stabbing",Man dies after stabbing and car crash in Minneapolis Sunday morning,"1 Dead, 2 Injured in Downtown Minneapolis Fight and Stabbing",Man dies after stabbing and car crash in Minneapolis Sunday morning
1484396961_1484113101,en,en,en,en,Studio 54 party at Midtown's Electric FeelGood lets partygoers ring in 2020,"Authorities: Man, Woman Dead in Apparent Murder-Suicide",Studio 54 party at Midtown's Electric FeelGood lets partygoers ring in 2020,"Authorities: Man, Woman Dead in Apparent Murder-Suicide"
1484034739_1483971502,en,en,en,en,Trump has no coherent strategy to solve the ‘escalating crisis’ with Iran: conservative columnist,Iraq embassy protests: US troops fire tear gas at Iran-backed demonstrators,Trump has no coherent strategy to solve the ‘escalating crisis’ with Iran: conservative columnist,Iraq embassy protests: US troops fire tear gas at Iran-backed demonstrators
1483806234_1484051122,en,en,en,en,Trump: I do not expect war with Iran,Trump insists Kim Jong-un is a ‘man of his word’ despite North Korea ramping up nuclear programme,Trump: I do not expect war with Iran,Trump insists Kim Jong-un is a ‘man of his word’ despite North Korea ramping up nuclear programme
1484395033_1483776272,en,en,en,en,U-19 hero Manjot Kalra suspended in age-fraud case,Robert Pattinson on The Batman: Want to push the character as far as possible,U-19 hero Manjot Kalra suspended in age-fraud case,Robert Pattinson on The Batman: Want to push the character as far as possible
1484399055_1484221739,en,en,en,en,Dracula review – a blood-sucking delight that leaves you thirsty for more,CHRISTOPHER STEVENS gives Dracula five-star thumbs-up,Dracula review – a blood-sucking delight that leaves you thirsty for more,CHRISTOPHER STEVENS gives Dracula five-star thumbs-up
1484010782_1484238046,en,en,en,en,'The pressure is immense': catching up with Corrie's first black family,Flights: Man condemned for ‘lowest of the low’ deed in airport,'The pressure is immense': catching up with Corrie's first black family,Flights: Man condemned for ‘lowest of the low’ deed in airport
1484191118_1484925367,en,en,en,en,Business leaders to boost digital innovation,President Trump's plan to curb teen vaping exempts some flavors,Business leaders to boost digital innovation,President Trump's plan to curb teen vaping exempts some flavors
1484759960_1483798636,en,en,en,en,Best 2019 New Year's Eve comedy shows in Minneapolis & St. Paul,"Yes, Anderson Cooper’s ‘cock’ story about his mother on live television is an issue",Best 2019 New Year's Eve comedy shows in Minneapolis & St. Paul,"Yes, Anderson Cooper’s ‘cock’ story about his mother on live television is an issue"
1507536783_1484348111,en,en,en,en,Enhancing Pupils’ Literacy Skills to Alleviate Poverty,"Jumia, DHL, and Alibaba will face off in African ecommerce 2.0 – TechCrunch",Enhancing Pupils’ Literacy Skills to Alleviate Poverty,"Jumia, DHL, and Alibaba will face off in African ecommerce 2.0 – TechCrunch"
1484395970_1484153333,en,en,en,en,Roadie gives rare insight into his unusual world,Australian bushfire death toll rises to 18 as conditions expected to worsen,Roadie gives rare insight into his unusual world,Australian bushfire death toll rises to 18 as conditions expected to worsen
1484010809_1484223087,en,en,en,en,The joy audit: how to have more fun in 2020,How to succeed at your New Year’s resolutions this year,The joy audit: how to have more fun in 2020,How to succeed at your New Year’s resolutions this year
1484188243_1483769841,en,en,en,en,Our view: Curtis Jones to be Liverpool breakthrough star for 2020,"EPL: Wenger speaks on Liverpool going unbeaten, winning title this season",Our view: Curtis Jones to be Liverpool breakthrough star for 2020,"EPL: Wenger speaks on Liverpool going unbeaten, winning title this season"
1484036056_1484018268,en,en,en,en,Louisville Slugger Museum showcases photos of former factory employees,Frumpy Middle-aged Mom: My housekeeper is worth more to me than gold,Louisville Slugger Museum showcases photos of former factory employees,Frumpy Middle-aged Mom: My housekeeper is worth more to me than gold
1484699181_1483919695,en,en,en,en,Illinois becomes latest US state to legalize recreational pot,"Illinois governor pardons more than 11,000 people for low-level pot offenses",Illinois becomes latest US state to legalize recreational pot,"Illinois governor pardons more than 11,000 people for low-level pot offenses"
1484188422_1484187925,en,en,en,en,"The Hong Kong Color Revolution is a Swastika ""Sunflower"" in your Face","Macau Stock Market, A Direct Result of the West's Hong Kong Color Revolution","The Hong Kong Color Revolution is a Swastika ""Sunflower"" in your Face","Macau Stock Market, A Direct Result of the West's Hong Kong Color Revolution"
1484033131_1484067215,en,en,en,en,Everybody is focused on the political arena of entertainment while the framework for a medical tyranny is being built behind the scenes. They’re trying to claim ownership of your body under the guise ,New FDA labels include nutrition info for eating that whole pint of ice cream,Everybody is focused on the political arena of entertainment while the framework for a medical tyranny is being built behind the scenes. They’re trying to claim ownership of your body under the guise ,New FDA labels include nutrition info for eating that whole pint of ice cream
1484190337_1484139177,en,en,en,en,"After Trump Dismisses North Korea Threats Again, Ex-Clinton Adviser Says Kim Jong Un Is Playing Him Like a 'Violin'",Donald Trump downplays renewed nuclear threats from North Korea's Kim Jong Un,"After Trump Dismisses North Korea Threats Again, Ex-Clinton Adviser Says Kim Jong Un Is Playing Him Like a 'Violin'",Donald Trump downplays renewed nuclear threats from North Korea's Kim Jong Un
1498601317_1483894995,en,en,en,en,2019 Big Bo Classic,"2020: MFM GO, Olukoya releases prophesies about Nigeria, leaders",2019 Big Bo Classic,"2020: MFM GO, Olukoya releases prophesies about Nigeria, leaders"
1484451939_1483782560,en,en,en,en,Winter blues? Columbus Metro Parks offers family fun,"Take a winter hike and help the environment, too",Winter blues? Columbus Metro Parks offers family fun,"Take a winter hike and help the environment, too"
1484109922_1484070585,en,en,en,en,Sheriff: Georgia man shot behind hotel on New Year’s Eve,Firefighters rescue two men from icy pond in Massachusetts,Sheriff: Georgia man shot behind hotel on New Year’s Eve,Firefighters rescue two men from icy pond in Massachusetts
1484011108_1483942482,en,en,en,en,Official: FC Barcelona's First January Departure Confirmed,Barcelona decide not to sell Arturo Vidal to Inter Milan in January,Official: FC Barcelona's First January Departure Confirmed,Barcelona decide not to sell Arturo Vidal to Inter Milan in January
1484188579_1483915172,en,en,en,en,"Lloyds, RBS, and Halifax customers locked out of online accounts","Lloyds, Halifax and Bank of Scotland online banking systems crash","Lloyds, RBS, and Halifax customers locked out of online accounts","Lloyds, Halifax and Bank of Scotland online banking systems crash"
1484010981_1483980655,en,en,en,en,State-of-art Istanbul Airport to display aviation hub potential in 2020,"Turkish Airlines expands fleet, opens 4 new routes in 2020",State-of-art Istanbul Airport to display aviation hub potential in 2020,"Turkish Airlines expands fleet, opens 4 new routes in 2020"
1484036411_1484054675,en,en,en,en,Washington ends vehicle emissions testing on Jan. 1,"Starting today, vehicle emissions testing is history",Washington ends vehicle emissions testing on Jan. 1,"Starting today, vehicle emissions testing is history"
1484034507_1483929758,en,en,en,en,"Home Ministry to decide further action on PFI's role in violence during anti-CAA protests, says Law Minister Ravi Shankar Prasad","CAA row: States have Constitutional duty to implement Acts, says Prasad","Home Ministry to decide further action on PFI's role in violence during anti-CAA protests, says Law Minister Ravi Shankar Prasad","CAA row: States have Constitutional duty to implement Acts, says Prasad"
1484008954_1484258247,en,en,en,en,WWL-TV Photographers: Your stories our cameras captured in 2019,NOPD investigating two homicides on New Year's Day,WWL-TV Photographers: Your stories our cameras captured in 2019,NOPD investigating two homicides on New Year's Day
1483805310_1483968177,en,en,en,en,"Peter Rhodes on a perfect telly moment, a foxy dilemma and a sudden shortage of rain",'I've been able to adjust and find a way': Peter Siddle speaks about his cricketing career post-retirement,"Peter Rhodes on a perfect telly moment, a foxy dilemma and a sudden shortage of rain",'I've been able to adjust and find a way': Peter Siddle speaks about his cricketing career post-retirement
1484201854_1484199265,en,en,en,en,"Austrian Conservatives, Greens Strike Coalition Deal",Austria’s Conservatives and Greens agree on coalition government,"Austrian Conservatives, Greens Strike Coalition Deal",Austria’s Conservatives and Greens agree on coalition government
1484188524_1484648268,en,en,en,en,Growing When Times Are Good: 5 Business Expansion Strategies,"2020 will start with wet, gusty weather",Growing When Times Are Good: 5 Business Expansion Strategies,"2020 will start with wet, gusty weather"
1484182697_1483892444,en,en,en,en,Financial Planning: Six tips to become wealthy in the new decade,Buying a life insurance policy? Check the claim settlement ratio of the insurer first; Here’s why,Financial Planning: Six tips to become wealthy in the new decade,Buying a life insurance policy? Check the claim settlement ratio of the insurer first; Here’s why
1484012380_1484134546,en,en,en,en,Russia’s Hypersonic ICBM Is Operational. So What?,The future of Putin’s information autocracy,Russia’s Hypersonic ICBM Is Operational. So What?,The future of Putin’s information autocracy
1484452805_1484452810,en,en,en,en,Police investigate after woman found dead in Miramar lake,No-swim advisory lifted for Deerfield Beach Pier,Police investigate after woman found dead in Miramar lake,No-swim advisory lifted for Deerfield Beach Pier
1484164333_1484109924,en,en,en,en,2 charged in man's fatal beating in forest face joint trial,"2 dead, 2 critical after SUV enters northern Indiana pond",2 charged in man's fatal beating in forest face joint trial,"2 dead, 2 critical after SUV enters northern Indiana pond"
1484455033_1483944796,en,en,en,en,"IPS reshuffle in Bihar, Upendra Sharma new Patna SSP",Punjab Governor calls upon people to rededicate themselves to ideals of Guru Gobind Singh,"IPS reshuffle in Bihar, Upendra Sharma new Patna SSP",Punjab Governor calls upon people to rededicate themselves to ideals of Guru Gobind Singh
1484039502_1483854727,en,en,en,en,"LeBron James, Lakers ring in 2020 after strong start to season",From the editor: Happy New Year,"LeBron James, Lakers ring in 2020 after strong start to season",From the editor: Happy New Year
1517420924_1484120724,en,en,en,en,The UN Is Hiring DISARMAMENT OFFICERS in New York,Greta Thunberg says talking to Trump would be a waste of time,The UN Is Hiring DISARMAMENT OFFICERS in New York,Greta Thunberg says talking to Trump would be a waste of time
1484459085_1483934248,en,en,en,en,Trump in Palm Beach:,Inside Trump’s New Year’s bash; family and friends ring in 2020 at Mar-a-Lago,Trump in Palm Beach:,Inside Trump’s New Year’s bash; family and friends ring in 2020 at Mar-a-Lago
1484037964_1486947742,en,en,en,en,Yorba Linda Approves Grant Program to Help Businesses,Support Oxnard initiatives,Yorba Linda Approves Grant Program to Help Businesses,Support Oxnard initiatives
1484037802_1483863439,en,en,en,en,Mark Ronson rocks the Hogmanay party,'It was great to see': Dancing security guards steal the show at Edinburgh Hogmanay celebrations,Mark Ronson rocks the Hogmanay party,'It was great to see': Dancing security guards steal the show at Edinburgh Hogmanay celebrations
1484395660_1484161861,en,en,en,en,Huron-Clinton Metroparks: 2020 annual pass prices to jump on Jan. 1,Registration Open For 2020 Rhode Island State Police 5k,Huron-Clinton Metroparks: 2020 annual pass prices to jump on Jan. 1,Registration Open For 2020 Rhode Island State Police 5k
1484009190_1484322080,en,en,en,en,Protesters vacate US Embassy compound in Iraq,"U.S., Iraqi forces fire tear gas at protesters at Baghdad’s U.S. embassy",Protesters vacate US Embassy compound in Iraq,"U.S., Iraqi forces fire tear gas at protesters at Baghdad’s U.S. embassy"
1484009190_1484322080,en,en,en,en,Protesters vacate US Embassy compound in Iraq,"U.S., Iraqi forces fire tear gas at protesters at Baghdad’s U.S. embassy",Protesters vacate US Embassy compound in Iraq,"U.S., Iraqi forces fire tear gas at protesters at Baghdad’s U.S. embassy"
1483805539_1484079569,en,en,en,en,"Dancehall Diva, Kaakie Set To Walk Down The Aisle As Her Bridal Shower Photos Hit The Internet – Ghanagh.com",Banger Alert: Grandpapa Reggie Rockstone X Sena Dagadu – Ghanagh.com,"Dancehall Diva, Kaakie Set To Walk Down The Aisle As Her Bridal Shower Photos Hit The Internet – Ghanagh.com",Banger Alert: Grandpapa Reggie Rockstone X Sena Dagadu – Ghanagh.com
1484401798_1484061495,en,en,en,en,This Edmonton man had his arm amputated. Then he kept the bones.,The Bishop of Worcester’s New Year Message 2020,This Edmonton man had his arm amputated. Then he kept the bones.,The Bishop of Worcester’s New Year Message 2020
1484399996_1484029325,en,en,en,en,Three-car accident in Norwalk leads to injuries,New Year’s eve crash kills one,Three-car accident in Norwalk leads to injuries,New Year’s eve crash kills one
1484760781_1483992981,en,en,en,en,"Warm For The Season For Now, Some Wet Snow This Weekend",Weather Forecast: Warmer Thursday and Friday,"Warm For The Season For Now, Some Wet Snow This Weekend",Weather Forecast: Warmer Thursday and Friday
1484033151_1484090252,en,en,en,en,"Arizona led the drive to give women the right to vote. 100 years later, it's paying off",Here Are The Good Guys With Guns The Media Doesn’t Want You To Know About,"Arizona led the drive to give women the right to vote. 100 years later, it's paying off",Here Are The Good Guys With Guns The Media Doesn’t Want You To Know About
1484038236_1483956394,en,en,en,en,Iran Summons Swiss Envoy over US Accusations,Iran Summons Swiss Envoy over US ‘Warmongering Statements’,Iran Summons Swiss Envoy over US Accusations,Iran Summons Swiss Envoy over US ‘Warmongering Statements’
1484188934_1484107894,en,en,en,en,"What’s coming to Google Stadia in 2020: Features, parity",Realme is bringing ads to its ColorOS Android skin in 2020,"What’s coming to Google Stadia in 2020: Features, parity",Realme is bringing ads to its ColorOS Android skin in 2020
1484188473_1484233982,en,en,en,en,A Hate Crime Is A Hate Crime No Matter Who Commits It,The left’s constant victimhood olympics is a gift to anti-Semites,A Hate Crime Is A Hate Crime No Matter Who Commits It,The left’s constant victimhood olympics is a gift to anti-Semites
1484010585_1483901012,en,en,en,en,Prime Minister's New Year's Message,America Ferrera expecting second child,Prime Minister's New Year's Message,America Ferrera expecting second child
1484188438_1484307177,en,en,en,en,Article: Turning Space Into a War Zone,U.S. Senator Maria Cantwell of Washington,Article: Turning Space Into a War Zone,U.S. Senator Maria Cantwell of Washington
1484703275_1483906669,en,en,en,en,Top 10 of 2019: Most Popular Plenty of Horne Columns,Three straight years of falling crime rates — and yet Chicago has a long way to go,Top 10 of 2019: Most Popular Plenty of Horne Columns,Three straight years of falling crime rates — and yet Chicago has a long way to go
1483805145_1483858981,en,en,en,en,"UK Grooming Gangs: Nearly 19,000 Girls Sexually Exploited in a Year",Fourfold rise in migrants rescued in English Channel: authorities,"UK Grooming Gangs: Nearly 19,000 Girls Sexually Exploited in a Year",Fourfold rise in migrants rescued in English Channel: authorities
1484037485_1484054566,en,en,en,en,LETTERS: Value of trees cannot be overstated – Peace Arch News,18 Movies Every Entrepreneur Should Watch,LETTERS: Value of trees cannot be overstated – Peace Arch News,18 Movies Every Entrepreneur Should Watch
